;Peso Total;101;; R$0,84 ;;Peso Total;0;; R$-   ;;Peso Total;45;; R$1,21 ;;;;;;;;;;;;;;
;PESO DEPOIS DE PRONTO;100;PREÇO/KG ?; R$8,39 ;;PESO DEPOIS DE PRONTO;0;PREÇO/KG ?;  ;;PESO DEPOIS DE PRONTO;60;PREÇO/KG ?; R$20,18 ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mistura Hot;;;;;Mistura Grelhado;;;;;ZZ PREPARO 24;;;;;;;;;;;;;;;;;
;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;INGREDIENTES;PESO;VALOR/QUILO;VALOR;;;;;;;;;;;;;;
;Salmão;1000;  ;  ;;Salmão;1000;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;Cream Cheese;500; R$33,92 ; R$16,96 ;;Cream Cheese;500; R$33,92 ; R$16,96 ;;;;  ;  ;;;;;;;;;;;;;;
;Cebolinha;60; R$2,59 ; R$0,16 ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;Gergelim ;40; R$35,90 ; R$1,44 ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;Peso Total;1600;; R$18,55 ;;Peso Total;1500;; R$16,96 ;;Peso Total;0;; R$-   ;;;;;;;;;;;;;;
;PESO DEPOIS DE PRONTO;1600;PREÇO/KG ?; R$11,59 ;;PESO DEPOIS DE PRONTO;1500;PREÇO/KG ?; R$11,31 ;;PESO DEPOIS DE PRONTO;;PREÇO/KG ?;  ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Acevichado Maki;;;;;Jalea Roll;;;;;Wings Meia;;;;;;;;;;;;;;;;;
;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;;;;;;;;;;;;;
;Camarão Sete Barbas;30; R$56,00 ; R$1,68 ;;Camarão Sete Barbas;30; R$56,00 ; R$1,68 ;;Frango Passarinho;400;  ;  ;;;;;;;;;;;;;;
;Avocado Primalta;30; R$10,00 ; R$0,30 ;;Avocado Primalta;30; R$10,00 ; R$0,30 ;;Embalagem Poke;1; R$1.210,00 ; R$1,21 ;;;;;;;;;;;;;;
;Atum Lombo Limpo;20; R$75,00 ; R$1,50 ;;Panko Alpha;20; R$17,01 ; R$0,34 ;;Potinho Shoyu;1000; R$0,21 ; R$0,21 ;;;;;;;;;;;;;;
;Shari;90; R$3,88 ; R$0,35 ;;Shari;90; R$3,88 ; R$0,35 ;;Molho Acevichado;30; R$9,42 ; R$0,28 ;;;;;;;;;;;;;;
;Alga Gold;1000; R$0,20 ; R$0,20 ;;Alga Gold;1000; R$0,20 ; R$0,20 ;;;;  ;  ;;;;;;;;;;;;;;
;Molho Acevichado;30; R$9,42 ; R$0,28 ;;Molho Acevichado;30; R$9,42 ; R$0,28 ;;;;  ;  ;;;;;;;;;;;;;;
;Togarashi;1; R$376,83 ; R$0,38 ;;Togarashi;1; R$376,83 ; R$0,38 ;;;;  ;  ;;;;;;;;;;;;;;
;Cebolinha;1; R$2,59 ; R$0,00 ;;Cebolinha;1; R$2,59 ; R$0,00 ;;;;  ;  ;;;;;;;;;;;;;;
